Customer,State,Gender,Customer Lifetime Value,Income,Monthly Premium Auto,Policy Type,Vehicle Class,Total Claim Amount
RB50392,Washington,,,0.0,1000.0,Personal Auto,Four-Door Car,2.704934
QZ44356,Arizona,F,,0.0,94.0,Personal Auto,Four-Door Car,1131.464935
AI49188,Nevada,F,,48767.0,108.0,Personal Auto,Two-Door Car,566.4722469999999
WW63253,California,M,,0.0,106.0,Corporate Auto,SUV,529.881344
GA49547,Washington,M,,36357.0,68.0,Personal Auto,Four-Door Car,17.269323
OC83172,Oregon,F,,62902.0,69.0,Personal Auto,Two-Door Car,159.383042
XZ87318,Oregon,F,,55350.0,67.0,Corporate Auto,Four-Door Car,321.6
CF85061,Arizona,M,,0.0,101.0,Corporate Auto,Four-Door Car,363.02968
DY87989,Oregon,M,,14072.0,71.0,Corporate Auto,Four-Door Car,511.2
BQ94931,Oregon,F,,28812.0,93.0,Special Auto,Four-Door Car,425.527834
SX51350,California,M,,0.0,67.0,Personal Auto,Four-Door Car,482.4
VQ65197,California,,,0.0,110.0,Personal Auto,SUV,528.0
DP39365,California,,,77026.0,110.0,Corporate Auto,Four-Door Car,472.029737
SJ95423,Arizona,,,99845.0,110.0,Corporate Auto,SUV,528.0
IL66569,California,,,83689.0,70.0,Corporate Auto,Four-Door Car,307.13913199999996
BW63560,Oregon,,,24599.0,64.0,Corporate Auto,Four-Door Car,42.920271
FV94802,Nevada,,,25049.0,67.0,Personal Auto,Two-Door Car,454.24509800000004
OE15005,Cali,,,28855.0,101.0,Personal Auto,SUV,647.4420309999999
WC83389,Oregon,,,51148.0,72.0,Personal Auto,Four-Door Car,308.981664
FL50705,California,,,66140.0,101.0,Corporate Auto,Four-Door Car,484.8
ZK25313,Oregon,,,57749.0,74.0,Personal Auto,Two-Door Car,355.2
QK46697,Washington,M,,61040.0,79.0,Personal Auto,Two-Door Car,20.382876
YH23384,Arizona,,,14072.0,71.0,Personal Auto,Four-Door Car,511.2
TZ98966,Nevada,,,0.0,73.0,Corporate Auto,Four-Door Car,554.376763
HM55802,California,,,17870.0,61.0,Corporate Auto,Four-Door Car,439.2
FS42516,Oregon,,,97541.0,72.0,Personal Auto,Four-Door Car,389.185006
US89481,California,,,0.0,111.0,Personal Auto,Four-Door Car,799.2
HS14476,Washington,M,,29723.0,80.0,Personal Auto,Four-Door Car,20.985104999999997
GE62437,AZ,,,86584.0,111.0,Personal Auto,Four-Door Car,532.8
EJ77678,Oregon,,,75690.0,80.0,Personal Auto,Four-Door Car,384.0
SV85652,Arizona,,,23158.0,63.0,Personal Auto,Four-Door Car,322.29404300000004
UL64533,Nevada,,,65999.0,237.0,Corporate Auto,Luxury SUV,615.927769
PF41800,California,,,0.0,65.0,Personal Auto,Four-Door Car,308.15089
HD95276,Washington,F,,0.0,130.0,Personal Auto,SUV,23.820158
SK67821,Oregon,,,37260.0,62.0,Corporate Auto,Four-Door Car,15.437681
YV55495,Arizona,,,68987.0,71.0,Personal Auto,Four-Door Car,204.475147
KY38074,California,,,42305.0,117.0,Personal Auto,Four-Door Car,561.6
DM79012,Oregon,,,65706.0,91.0,Personal Auto,Four-Door Car,436.8
CM61827,Oregon,,,0.0,90.0,Personal Auto,Two-Door Car,648.0
WC35801,Arizona,,,53243.0,66.0,Personal Auto,Four-Door Car,157.397849
QG25316,Nevada,,,0.0,70.0,Corporate Auto,Two-Door Car,484.31853600000005
MB98372,Oregon,,,50071.0,71.0,Corporate Auto,Two-Door Car,18.918935
IL19217,California,,,60021.0,99.0,Personal Auto,Four-Door Car,882.8719449999999
SR38658,Arizona,,,43244.0,103.0,Personal Auto,Sports Car,494.4
YD87931,Washington,M,,46896.0,35354.0,Personal Auto,Four-Door Car,31.707317
HG65722,Oregon,,,10105.0,172.0,Personal Auto,SUV,0.517753
BU27331,Arizona,,,0.0,73.0,Personal Auto,Four-Door Car,579.165954
